Date;Chrome;IE;Firefox;Safari;Opera;Edge;Unknown
2016-03;0.601;0.1367;0.1569;0.0462;0.0196;0.0215;0.0181
2016-04;0.6047;0.1325;0.1562;0.0462;0.0192;0.0228;0.0184
2016-05;0.6075;0.1245;0.1596;0.0477;0.0184;0.0249;0.0174
2016-06;0.6173;0.1171;0.1555;0.0474;0.0173;0.0275;0.0179
2016-07;0.6238;0.1073;0.1543;0.0459;0.0178;0.0304;0.0205
2016-08;0.623;0.1073;0.1531;0.0464;0.0179;0.0311;0.0212
2016-09;0.6262;0.1073;0.15;0.0475;0.0175;0.0301;0.0214
2016-10;0.6319;0.0973;0.1459;0.0529;0.02;0.0306;0.0214
2016-11;0.6309;0.0966;0.1489;0.052;0.0189;0.0319;0.0208
2016-12;0.6266;0.0986;0.1495;0.051;0.018;0.0337;0.0226
2017-01;0.6209;0.1049;0.1485;0.0528;0.0166;0.0358;0.0205
2017-02;0.6295;0.0962;0.1481;0.0534;0.016;0.0368;0.02
2017-03;0.6281;0.0939;0.1497;0.0528;0.0193;0.0364;0.0198
2017-04;0.6345;0.09;0.1453;0.052;0.0208;0.0371;0.0203
2017-05;0.6336;0.092;0.1417;0.0525;0.0212;0.0374;0.0216
2017-06;0.6302;0.0898;0.1423;0.0521;0.0226;0.0397;0.0233
